frame,time_s,x_px,y_px,distance_m
1,0.0,962,437,0.0
2,0.0003125,956,437,0.004002642701379955
3,0.000625,949,436,0.00869801264200101
4,0.0009375,944,434,0.012173562523062818
5,0.00125,938,435,0.01606606688459314
6,0.0015625,930,434,0.021441034450157496
7,0.001875,925,434,0.024763965063388578
8,0.0021875,918,433,0.029473755773034176
9,0.0025,912,433,0.03346192274843242
10,0.0028125,905,432,0.038171120737096546
11,0.003125,899,431,0.042217920142799105
12,0.0034375,893,431,0.0462040912720052
13,0.00375,887,431,0.05019288412264863
14,0.0040625,882,429,0.05363474840620783
15,0.004375,875,429,0.05828317539415969
16,0.0046875,869,428,0.062330799242956356
17,0.005,862,428,0.066980345165431
18,0.0053125,857,426,0.07042957913935288
19,0.005625,852,425,0.07381714333331474
20,0.0059375,845,424,0.0785318543345922
21,0.00625,841,424,0.08118449679085225
22,0.0065625,835,423,0.08523582495574482
23,0.006875,829,423,0.08921544501000084
24,0.0071875,823,422,0.09326625125534649
25,0.0075,817,421,0.09731764474708074
26,0.0078125,811,421,0.10129709099048494
27,0.008125,806,420,0.10468481585609254
28,0.0084375,800,420,0.10866476681222045
29,0.00875,794,419,0.11271544186917694
30,0.0090625,787,418,0.11742980295122511
31,0.009375,781,417,0.12148128668827717
32,0.0096875,776,415,0.12494686567469063
33,0.01,768,415,0.13024828687698073
34,0.0103125,763,414,0.13363805732002676
35,0.010625,758,414,0.1369520706440042
36,0.010937500000000001,750,413,0.1423300823243391
37,0.01125,745,412,0.14571977331485197
38,0.0115625,737,412,0.1510227967972927
39,0.011875,731,412,0.15500158852634233
40,0.0121875,727,410,0.157801505808863
41,0.0125,721,409,0.1618542650417507
42,0.012812500000000001,714,408,0.1665698476407018
43,0.013125,710,409,0.16914553241296781
44,0.0134375,703,408,0.1738604528912238
45,0.01375,697,407,0.17791260290542388
46,0.0140625,690,407,0.18255346944124323
47,0.014375,685,405,0.1860176490058623
48,0.014687500000000001,678,405,0.19065729997623912
49,0.015,673,405,0.19397222080298315
50,0.0153125,667,404,0.19802409276061442
51,0.015625,663,404,0.20067619968727854
52,0.0159375,656,403,0.20539100364431806
53,0.01625,652,401,0.20819300530930135
54,0.0165625,644,401,0.21349512348650868
55,0.016875,638,400,0.21754750741222068
56,0.0171875,633,400,0.22086182819230551
57,0.0175,626,398,0.22565286508656038
58,0.017812500000000002,621,398,0.228966479034815
59,0.018125,616,398,0.23228072050150456
60,0.0184375,610,397,0.2363329944317982
61,0.01875,603,396,0.24104824337606204
62,0.0190625,597,395,0.245100819827176
63,0.019375,592,394,0.2484909089771919
64,0.0196875,586,394,0.25246721500611696
65,0.02,579,394,0.2571072717104874
66,0.0203125,573,393,0.2611594431148525
67,0.020625,567,392,0.2652117882951473
68,0.0209375,561,392,0.2691890878749882
69,0.02125,556,391,0.2725783679471043
70,0.021562500000000002,551,390,0.27596795098983395
71,0.021875000000000002,544,390,0.2806079651767673
72,0.0221875,539,389,0.2839973015962067
73,0.0225,533,390,0.28790135877308687
74,0.0228125,528,389,0.29128986093969383
75,0.023125,521,389,0.29593175481338263
76,0.0234375,515,388,0.29998316885085385
77,0.02375,509,387,0.3040347546608322
78,0.0240625,503,386,0.3080865054664771
79,0.024375,499,385,0.3108125010419799
80,0.0246875,493,385,0.31479045287150437
81,0.025,487,384,0.318842309428001
82,0.0253125,481,383,0.3228943166187912
83,0.025625000000000002,475,382,0.3269464688432218
84,0.025937500000000002,469,381,0.3309987607747016
85,0.02625,463,381,0.3349761327847303
86,0.0265625,457,380,0.3390282736571392
87,0.026875,451,379,0.34308054958488615
88,0.0271875,445,379,0.347057949478271
89,0.0275,440,378,0.35044718543258724
90,0.0278125,434,377,0.3544994916476973
91,0.028125,427,376,0.3592147280488618
92,0.0284375,421,376,0.3631918870632598
93,0.02875,416,374,0.36665714659207227
94,0.0290625,409,375,0.37122158424210044
95,0.029375000000000002,404,374,0.374610792463281
96,0.029687500000000002,398,374,0.3785884317001981
97,0.03,393,373,0.38197751951309183
98,0.0303125,387,372,0.38602970549937704
99,0.030625,381,371,0.3900820093307274
100,0.0309375,375,370,0.39413442737226134
101,0.03125,370,370,0.3974486255133824
102,0.0315625,364,369,0.401500955209779
103,0.031875,359,369,0.4048153080435288
104,0.0321875,351,368,0.4101933115773602
105,0.0325,347,367,0.41291990598880673
106,0.0328125,341,367,0.4168971160518581
107,0.033125,335,367,0.42087480832202084
108,0.0334375,329,366,0.4249268113260122
109,0.03375,323,365,0.42897892494653805
110,0.0340625,317,364,0.43303114607829696
111,0.034375,313,363,0.4357578207059548
112,0.0346875,306,363,0.4403978255649788
113,0.035,301,362,0.4437872120886546
114,0.035312500000000004,294,361,0.4485024205589153
115,0.035625000000000004,289,360,0.4518920778842406
116,0.035937500000000004,283,360,0.4558690040694325
117,0.03625,277,360,0.4598463765054215
118,0.0365625,273,358,0.4626482846524035
119,0.036875,267,358,0.46662509601860325
120,0.0371875,261,356,0.4707536273719538
121,0.0375,255,357,0.4746545660625415
122,0.0378125,249,356,0.4787068821887983
123,0.038125,242,356,0.48334707415906597
124,0.0384375,237,355,0.4867363658237686
125,0.03875,232,354,0.49012582791729203
126,0.0390625,226,354,0.4941030538578304
127,0.039375,221,352,0.4975680045715729
128,0.0396875,214,352,0.5022076131675711
129,0.04,210,352,0.504859067617839
130,0.0403125,203,351,0.509574215473414
131,0.040625,198,350,0.5129637312273753
132,0.0409375,193,348,0.5164296760841851
133,0.04125,185,347,0.5218078436145321
134,0.0415625,181,346,0.5245354280380583
135,0.041875,176,346,0.5278486906737471
136,0.0421875,169,346,0.5324877255829771
137,0.0425,164,344,0.5359544555699618
138,0.0428125,158,344,0.5399303891430219
139,0.043125000000000004,152,344,0.5439067145128528
140,0.043437500000000004,147,342,0.5473734833914518
141,0.043750000000000004,142,342,0.5506867223266353
142,0.0440625,136,342,0.5546629618468526
143,0.044375,131,340,0.5581298978130078
144,0.0446875,127,339,0.5608577864949317
145,0.045,120,340,0.5654192294113242
146,0.0453125,114,340,0.5693957573682783
147,0.045625,110,338,0.5721994389832394
148,0.0459375,104,337,0.576252363701409
149,0.04625,97,338,0.5808147339156298
150,0.0465625,93,335,0.583695854592442
151,0.046875,87,335,0.587671391618356
152,0.0471875,82,334,0.5910617996768819
153,0.0475,75,335,0.5956235548857453
154,0.0478125,70,332,0.5991680421606728
155,0.048125,65,332,0.6024808321769113
156,0.0484375,61,332,0.6051312441151275
157,0.04875,55,331,0.6091842335831563
158,0.0490625,50,329,0.6126528130038714
159,0.049375,47,328,0.6147188471802427
160,0.0496875,38,328,0.6206810647547714
161,0.05,34,329,0.623253727286849
162,0.0503125,28,327,0.6273843629984713
163,0.050625,26,326,0.6287876512085325
164,0.050937500000000004,21,325,0.632178595698686
165,0.051250000000000004,14,325,0.6368158554439848
166,0.051562500000000004,5,323,0.6429351912785825
167,0.051875000000000004,3,322,0.6443391457550242
168,0.0521875,-1,325,0.6467544149934745
169,0.0525,0,324,0.6461692650338201
