frame,time_s,x_px,y_px,distance_m
1,0.0,921,442,0.0
2,0.0003125,916,441,0.003436218611907165
3,0.000625,907,439,0.009648749742658029
4,0.0009375,902,439,0.012962685187553906
5,0.00125,896,439,0.016968315896161507
6,0.0015625,890,439,0.020988431244151815
7,0.001875,883,439,0.025687800457409142
8,0.0021875,878,438,0.029102716579876505
9,0.0025,870,437,0.03453356965664769
10,0.0028125,865,437,0.03788840820326651
11,0.003125,860,436,0.0413061491960227
12,0.0034375,854,435,0.04539691674846028
13,0.00375,847,434,0.05015901439516259
14,0.0040625,841,433,0.054251921234567395
15,0.004375,836,432,0.0576763709466904
16,0.0046875,829,431,0.06244019656519217
17,0.005,823,430,0.06653526210972938
18,0.0053125,817,431,0.0704763198476606
19,0.005625,811,430,0.0745685627157775
20,0.0059375,804,430,0.07925967739001204
21,0.00625,798,429,0.08335112004697257
22,0.0065625,792,428,0.08744328566365289
23,0.006875,787,428,0.09079383349692056
24,0.0071875,779,427,0.09622592061114743
25,0.0075,773,426,0.10031802879032518
26,0.0078125,768,426,0.10366863165593447
27,0.008125,762,425,0.10776046973572308
28,0.0084375,756,425,0.11178176901193142
29,0.00875,749,424,0.11654343056699523
30,0.0090625,742,423,0.12130536827780718
31,0.009375,738,422,0.12405763245720582
32,0.0096875,731,421,0.1288203058623388
33,0.01,726,421,0.13216991949258738
34,0.0103125,720,420,0.136262424767487
35,0.010625,714,419,0.14035531849490926
36,0.010937500000000001,708,418,0.1444485676549065
37,0.01125,701,418,0.149137125431555
38,0.0115625,696,418,0.15248718017462093
39,0.011875,690,417,0.15657942251817394
40,0.0121875,682,414,0.1621631398869978
41,0.0125,678,413,0.1649192185832276
42,0.012812500000000001,671,412,0.16968315896161507
43,0.013125,666,412,0.17302911284007122
44,0.0134375,659,412,0.1777149424013013
45,0.01375,653,412,0.18173266315783135
46,0.0140625,647,412,0.18575149778356032
47,0.014375,641,411,0.189844350472097
48,0.014687500000000001,634,411,0.1945336801378084
49,0.015,629,409,0.19803083872268018
50,0.0153125,622,408,0.20279401103221045
51,0.015625,617,408,0.20614227654849715
52,0.0159375,610,407,0.21090528569380745
53,0.01625,605,408,0.21418082981898945
54,0.0165625,598,407,0.21894319917688623
55,0.016875,592,406,0.22303577673810288
56,0.0171875,585,405,0.22779842855266025
57,0.0175,581,405,0.23047801257243272
58,0.017812500000000002,573,404,0.23591047539682464
59,0.018125,568,403,0.23933339955740485
60,0.0184375,563,403,0.24268279326871556
61,0.01875,556,402,0.24744536672685488
62,0.0190625,550,402,0.251465076462507
63,0.019375,544,400,0.2556312510393373
64,0.0196875,538,400,0.2596501638800947
65,0.02,532,399,0.26374301588188886
66,0.0203125,527,398,0.2671663157948548
67,0.020625,520,398,0.2718549622141207
68,0.0209375,515,397,0.27527801807249813
69,0.02125,509,397,0.2792971508831783
