frame,time_s,x_px,y_px,distance_m
1,0.0,965,480,0.0
2,0.0003125,960,480,0.003343532152939588
3,0.000625,953,479,0.008052291729371015
4,0.0009375,947,479,0.01205527661858619
5,0.00125,942,479,0.015394778136241707
6,0.0015625,937,478,0.01877148403200959
7,0.001875,931,478,0.02277532034372239
8,0.0021875,924,479,0.027425117398122534
9,0.0025,918,478,0.03145764496041016
10,0.0028125,912,476,0.035542234315314426
11,0.003125,906,475,0.03959510103315276
12,0.0034375,900,475,0.0435943257066323
13,0.00375,894,475,0.047595740972366456
14,0.0040625,888,476,0.05155982433921561
15,0.004375,882,475,0.05560325133659726
16,0.0046875,875,475,0.060276383092930944
17,0.005,869,474,0.06432107758693668
18,0.0053125,863,473,0.06836848790639294
19,0.005625,857,473,0.07237183281081623
20,0.0059375,851,473,0.0763761111021579
21,0.00625,845,473,0.08038118328740809
22,0.0065625,840,472,0.08375931773043427
23,0.006875,833,472,0.08843121089827319
24,0.0071875,828,471,0.0918102514555787
25,0.0075,821,470,0.09652563647493613
26,0.0078125,815,470,0.10052861961152015
27,0.008125,810,469,0.10391018014524087
28,0.0084375,804,469,0.10791272685018886
29,0.00875,796,469,0.1132505227478483
30,0.0090625,792,469,0.11591983058909501
31,0.009375,786,468,0.11996712642893281
32,0.0096875,781,468,0.12330337331365893
33,0.01,773,468,0.12864215517387337
34,0.0103125,768,467,0.1320216861719653
35,0.010625,762,467,0.13602547377764215
36,0.010937500000000001,755,467,0.1406971678596167
37,0.01125,750,466,0.14407636587748698
38,0.0115625,744,466,0.14808035471295136
39,0.011875,738,466,0.15208477838451087
40,0.0121875,732,466,0.15608960342546963
41,0.0125,726,465,0.16013529522280914
42,0.012812500000000001,721,463,0.16355990635780462
43,0.013125,715,464,0.16751863546086854
44,0.0134375,708,463,0.1722331270184701
45,0.01375,702,462,0.1762812128347413
46,0.0140625,698,462,0.17894988900232314
47,0.014375,690,461,0.18433266044699675
48,0.014687500000000001,687,461,0.18633405995977087
49,0.015,680,462,0.19096106123097528
50,0.0153125,675,461,0.1943406312839442
51,0.015625,669,461,0.1983444596568571
52,0.0159375,663,459,0.2024369975212692
53,0.01625,656,461,0.2070205383044298
54,0.0165625,649,459,0.21177733120706121
55,0.016875,644,457,0.2152050645950711
56,0.0171875,639,458,0.2184941341854661
57,0.0175,632,458,0.2231646790974208
58,0.017812500000000002,627,457,0.22654546162681688
59,0.018125,619,457,0.23188305472431975
60,0.0184375,614,457,0.23521932862758313
61,0.01875,610,457,0.23788849449236787
62,0.0190625,601,455,0.2439825607995553
63,0.019375,596,455,0.24731834092580662
64,0.0196875,591,455,0.2506543276243077
65,0.02,584,455,0.25532504062680617
66,0.0203125,579,454,0.25870557076959794
67,0.020625,574,454,0.26204164011675013
68,0.0209375,568,454,0.26604517066028527
69,0.02125,562,453,0.2700928368997093
70,0.021562500000000002,555,453,0.2747634897228617
71,0.021875000000000002,549,452,0.278811290279692
72,0.0221875,544,451,0.28219252909125736
73,0.0225,538,452,0.28615088177999365
74,0.0228125,532,451,0.2901985598069247
75,0.023125,526,451,0.2942019520820915
76,0.0234375,520,450,0.29824981500387193
77,0.02375,516,450,0.3009186367707907
78,0.0240625,509,450,0.3055893274888745
79,0.024375,502,449,0.31030428284568257
80,0.0246875,498,448,0.31301818732242176
81,0.025,491,448,0.31768834275573327
82,0.0253125,486,448,0.3210243604871905
83,0.025625000000000002,480,447,0.3250724955394269
84,0.025937500000000002,474,446,0.329121110139922
85,0.02625,469,446,0.3324567350083507
86,0.0265625,462,446,0.3371268730115533
87,0.026875,456,445,0.34117530534512525
88,0.0271875,450,445,0.34517820173499053
89,0.0275,445,445,0.348514112849615
90,0.0278125,438,444,0.3532295743615552
91,0.028125,435,443,0.35527699916742417
92,0.0284375,428,444,0.3599013792867985
93,0.02875,423,444,0.36323749219864465
94,0.0290625,417,443,0.3672854470879265
95,0.029375000000000002,409,441,0.3727143136005375
96,0.029687500000000002,405,442,0.3753367645892261
97,0.03,400,441,0.37871815436238815
98,0.0303125,392,442,0.38401045376431975
99,0.030625,389,441,0.3860567958932078
100,0.0309375,381,441,0.3913943936611807
101,0.03125,377,440,0.3941081357055564
102,0.0315625,371,441,0.3980668459558655
103,0.031875,365,440,0.4021144784460806
104,0.0321875,361,439,0.40482815723910526
105,0.0325,353,439,0.4101656860608184
106,0.0328125,348,438,0.4135466770919459
