frame,time_s,x_px,y_px,distance_m
1,0.0,993,469,0.0
2,0.0003125,989,469,0.002670136047527194
3,0.000625,982,469,0.0073428741306997836
4,0.0009375,976,468,0.011367694600732052
5,0.00125,970,468,0.015367787030671489
6,0.0015625,963,467,0.02007047328652676
7,0.001875,958,466,0.023449359154600734
8,0.0021875,951,466,0.028107859005884868
9,0.0025,945,466,0.032104152888449936
10,0.0028125,939,464,0.03620102862202821
11,0.003125,932,464,0.04085613549019545
12,0.0034375,927,463,0.04423892491491501
13,0.00375,921,462,0.04828906161006315
14,0.0040625,914,461,0.053004890788538116
15,0.004375,909,461,0.05632658162870658
16,0.0046875,902,461,0.06097988051663951
17,0.005,897,460,0.06436426497137777
18,0.0053125,891,460,0.06835300559481133
19,0.005625,885,460,0.07234356544771803
20,0.0059375,879,459,0.07639109437834324
21,0.00625,873,459,0.08038173938635336
22,0.0065625,868,459,0.08370833922987553
23,0.006875,861,459,0.0883669816028652
24,0.0071875,855,458,0.09241188103685212
25,0.0075,848,457,0.09712333127233336
26,0.0078125,842,457,0.10111542919011501
27,0.008125,838,455,0.10388896830105407
28,0.0084375,831,456,0.1084881402128504
29,0.00875,824,455,0.11319967690278822
30,0.0090625,818,455,0.11719167492182575
31,0.009375,813,453,0.12062987901682055
32,0.0096875,806,453,0.12528494869095247
33,0.01,802,452,0.12800301921669258
34,0.0103125,794,452,0.13332310414361148
35,0.010625,789,450,0.13676629978429242
36,0.010937500000000001,784,451,0.14003107125606623
37,0.01125,777,449,0.14480411448811284
38,0.0115625,772,449,0.14812788796601747
39,0.011875,764,448,0.15350669961431404
40,0.0121875,760,448,0.15616586915408362
41,0.0125,752,448,0.16148529398080325
42,0.012812500000000001,748,448,0.16414551408220512
43,0.013125,741,447,0.1688583987527193
44,0.0134375,736,447,0.17218366660762494
45,0.01375,728,446,0.17756153761646404
46,0.0140625,723,446,0.18088693726537805
47,0.014375,717,445,0.18493463272065344
48,0.014687500000000001,711,444,0.18898287543694683
49,0.015,706,445,0.19225095433168002
50,0.0153125,700,446,0.19618914325208714
51,0.015625,693,444,0.20095434846588342
52,0.0159375,688,442,0.204394074650319
53,0.01625,681,443,0.20899252240451877
54,0.0165625,676,442,0.21237445354879686
55,0.016875,671,441,0.21575707150742904
56,0.0171875,663,441,0.22107775136470198
57,0.0175,658,439,0.2245187908623138
58,0.017812500000000002,651,440,0.22911591652507332
59,0.018125,648,439,0.2311682909008168
60,0.0184375,640,440,0.23643334763318538
61,0.01875,634,439,0.24047999636057885
62,0.0190625,628,438,0.2445271026875196
63,0.019375,623,438,0.24785296051953387
64,0.0196875,617,437,0.25190013092395747
65,0.02,610,437,0.25655634383746756
66,0.0203125,605,436,0.25993829279035324
67,0.020625,600,437,0.26320909258936404
68,0.0209375,593,435,0.26797645538098197
69,0.02125,588,435,0.2713022803222578
70,0.021562500000000002,583,434,0.2746843653627627
71,0.021875000000000002,577,434,0.2786752633208228
72,0.0221875,570,433,0.2833876472894521
73,0.0225,564,432,0.28743521570589514
74,0.0228125,558,431,0.29148314246651974
75,0.023125,554,431,0.2941432401655627
76,0.0234375,546,431,0.299463971589316
77,0.02375,540,430,0.30351149987362874
78,0.0240625,534,431,0.3074463392124832
79,0.024375,529,429,0.31088457182818674
80,0.0246875,522,429,0.31554029829165153
81,0.025,517,428,0.318922713876243
82,0.0253125,510,428,0.32357846243184446
83,0.025625000000000002,505,427,0.32696085749232495
84,0.025937500000000002,498,427,0.33161662704705297
85,0.02625,494,426,0.3343339283758357
86,0.0265625,487,426,0.3389896507569916
87,0.026875,483,424,0.3417650279740567
88,0.0271875,476,425,0.34636268002044146
89,0.0275,471,423,0.3498031089304667
90,0.0278125,464,423,0.35445804604791914
91,0.028125,458,423,0.35844836083670145
92,0.0284375,452,422,0.36249616913608285
93,0.02875,447,422,0.36582142862909756
94,0.0290625,441,422,0.3698120351755404
95,0.029375000000000002,436,422,0.3731377795785969
96,0.029687500000000002,429,420,0.3779073884824447
97,0.03,424,420,0.38123264243324445
98,0.0303125,417,419,0.385945513643683
99,0.030625,412,419,0.38927078632687206
100,0.0309375,405,418,0.39398364079525783
