frame,time_s,x_px,y_px,distance_m
1,0.0,928,362,0.0
2,0.0003125,926,362,0.001336940680630505
3,0.000625,923,362,0.0033423517015762627
4,0.0009375,919,361,0.0060532563849764
5,0.00125,916,361,0.008049448826023585
6,0.0015625,913,360,0.010115791835382557
7,0.001875,910,359,0.012198439016055952
8,0.0021875,907,359,0.014180397319769828
9,0.0025,903,358,0.01692431723762712
10,0.0028125,901,358,0.01824568946166426
11,0.003125,896,356,0.021763817487611425
12,0.0034375,894,355,0.023204684398561284
13,0.00375,891,355,0.025172146927894865
14,0.0040625,888,354,0.027268346476203856
15,0.004375,884,353,0.030021686926159884
16,0.0046875,881,352,0.03212137363018068
17,0.005,877,353,0.03461876170739431
18,0.0053125,874,352,0.0367111349481008
19,0.005625,870,351,0.03946240358424643
20,0.0059375,868,351,0.040776690759230405
21,0.00625,864,350,0.04352763497522285
22,0.0065625,861,348,0.045754829381207104
23,0.006875,858,347,0.04785519359370617
24,0.0071875,854,347,0.05047283080151797
25,0.0075,852,347,0.0517838046872091
26,0.0078125,848,347,0.054409543719028564
27,0.008125,844,346,0.0571610547583165
28,0.0084375,841,345,0.059256794533913054
29,0.00875,837,345,0.061883170141014875
30,0.0090625,836,345,0.06254039312115053
31,0.009375,832,344,0.06529145246283427
32,0.0096875,828,344,0.06792132360221936
33,0.01,825,344,0.06989591855587167
34,0.0103125,821,343,0.07264522804256897
35,0.010625,818,342,0.07473725609436614
36,0.010937500000000001,816,343,0.0759383483481617
37,0.01125,812,343,0.07857583799928829
38,0.0115625,811,342,0.07934548647131782
39,0.011875,808,342,0.08132292677370635
40,0.0121875,805,341,0.08341159942040509
41,0.0125,802,341,0.08538907311239166
42,0.012812500000000001,798,340,0.08813674334123424
43,0.013125,795,339,0.09022616356558397
44,0.0134375,791,338,0.0929750690632796
45,0.01375,789,340,0.09407399035560764
46,0.0140625,785,338,0.09692819934571162
47,0.014375,782,338,0.09890650650503739
48,0.014687500000000001,778,337,0.10165365846713294
49,0.015,775,337,0.10363230813510094
50,0.0153125,772,337,0.10561196734172872
51,0.015625,770,336,0.10703878062830173
52,0.0159375,766,335,0.10978595114450357
53,0.01625,763,334,0.11187445802343016
54,0.0165625,759,334,0.11451152529825767
55,0.016875,757,333,0.11594058732513797
56,0.0171875,753,333,0.11857766982867184
57,0.0175,751,332,0.12000671778135946
58,0.017812500000000002,747,332,0.1226438144789892
59,0.018125,745,332,0.1239629538199144
60,0.0184375,742,330,0.12616215544008422
61,0.01875,739,330,0.1281389817177205
62,0.0190625,735,329,0.13088710716068655
63,0.019375,732,329,0.13286426080886612
64,0.0196875,728,328,0.13561218763845026
65,0.02,726,328,0.13693040174911747
66,0.0203125,722,326,0.13979183711174334
67,0.020625,720,326,0.14110900634780832
68,0.0209375,717,327,0.14297453917107372
69,0.02125,713,325,0.14583381791741357
70,0.021562500000000002,711,326,0.14704068434182205
71,0.021875000000000002,707,325,0.14978807976335942
72,0.0221875,705,324,0.15121768378410017
73,0.0225,701,323,0.15396600342769537
74,0.0228125,698,322,0.1560559722520251
75,0.023125,695,323,0.15792037036471637
76,0.0234375,691,322,0.1606680665579207
77,0.02375,689,321,0.16209819969082231
78,0.0240625,686,320,0.16418807327062585
79,0.024375,683,320,0.1661643013613418
80,0.0246875,680,320,0.1681412205148134
81,0.025,676,319,0.17088931417330747
82,0.0253125,673,318,0.1729788908300673
83,0.025625000000000002,671,318,0.17429651095470233
84,0.025937500000000002,667,317,0.17704497222649937
85,0.02625,665,317,0.17836261859247696
86,0.0265625,662,317,0.18033962066287282
87,0.026875,658,316,0.18308766843406826
88,0.0271875,655,315,0.18517714357536333
89,0.0275,653,316,0.1863833888961126
90,0.0278125,650,315,0.18847189022340546
91,0.028125,646,314,0.19121991061541155
92,0.0284375,645,314,0.1918789356142014
93,0.02875,641,314,0.19451568021896834
94,0.0290625,638,312,0.19671663580722148
95,0.029375000000000002,634,312,0.19935215691657182
96,0.029687500000000002,632,311,0.20078271998011502
97,0.03,629,311,0.20275929701560222
98,0.0303125,626,310,0.20484880662090946
99,0.030625,623,309,0.20693881142424184
100,0.0309375,619,309,0.20957371411787815
101,0.03125,617,309,0.21089153341956335
102,0.0315625,614,308,0.21298098674081523
103,0.031875,612,308,0.21429870504485465
104,0.0321875,609,307,0.21638829938794363
105,0.0325,606,307,0.21836481780242406
106,0.0328125,603,306,0.22045438344617704
107,0.033125,600,305,0.222544408510526
108,0.0334375,597,305,0.22452046976023587
109,0.03375,595,304,0.22595187460433594
110,0.0340625,591,304,0.2285865582097406
111,0.034375,589,304,0.22990423942112617
112,0.0346875,584,303,0.2333114713691954
113,0.035,582,302,0.23474257115760824
114,0.035312500000000004,579,302,0.2367187410749243
115,0.035625000000000004,577,300,0.23826537315297353
116,0.035937500000000004,573,301,0.24078483528910374
117,0.03625,571,301,0.24210257124147946
118,0.0365625,567,300,0.24485093123449583
119,0.036875,564,299,0.24694076110866453
120,0.0371875,562,299,0.2482582209855558
121,0.0375,559,298,0.2503481666409962
122,0.0378125,557,298,0.2516655446866181
123,0.038125,553,298,0.2543009133458266
124,0.0384375,551,297,0.2557316265493879
125,0.03875,547,296,0.25848028856833133
126,0.0390625,545,295,0.2599120653992932
127,0.039375,541,294,0.2626612130404573
128,0.0396875,539,294,0.26397808254605554
129,0.04,535,294,0.26661242091209564
130,0.0403125,532,293,0.26870262723817
131,0.040625,529,293,0.27067849069675187
132,0.0409375,527,292,0.27211012842249915
133,0.04125,524,292,0.2740858825426112
134,0.0415625,521,291,0.2761761568111198
135,0.041875,518,290,0.2782667878577608
136,0.0421875,516,291,0.2794693739412133
137,0.0425,513,289,0.2816743967936893
138,0.0428125,510,289,0.28364969671444357
139,0.043125000000000004,509,289,0.28430822370967107
140,0.043437500000000004,505,288,0.28705722938722644
141,0.043750000000000004,502,287,0.28914800283240144
142,0.0440625,500,287,0.29046478577571416
143,0.044375,497,286,0.2925556454032214
144,0.0446875,493,286,0.29518926648749927
145,0.045,491,285,0.2966216148965117
146,0.0453125,488,285,0.2985968044095212
147,0.045625,486,284,0.30002926813075065
148,0.0459375,482,284,0.30266281924882
149,0.04625,480,283,0.30409523254176934
150,0.0465625,476,282,0.30684463391519523
151,0.046875,473,282,0.3088195513175014
152,0.0471875,471,282,0.3101363803406981
153,0.0475,468,281,0.3122271755789944
154,0.0478125,465,280,0.3143182797438925
155,0.048125,462,280,0.3162931538397262
156,0.0484375,459,279,0.3183842197340312
157,0.04875,456,279,0.32035913636701613
158,0.0490625,454,278,0.32179192927843886
159,0.049375,450,278,0.32442512300044735
160,0.0496875,447,277,0.3265161151320245
161,0.05,445,277,0.3278327397405092
162,0.0503125,443,276,0.32926558226648905
163,0.050625,440,275,0.33135704593648635
164,0.050937500000000004,435,276,0.3345325072029092
165,0.051250000000000004,433,275,0.335964707378637
166,0.051562500000000004,431,274,0.3373974501363647
167,0.051875000000000004,427,274,0.34003069702789834
168,0.0521875,426,273,0.34080516572437425
169,0.0525,423,273,0.3427799624782278
170,0.0528125,420,272,0.3448710981368559
171,0.053125,417,271,0.3469625095533871
172,0.0534375,414,270,0.34905419177108465
173,0.05375,411,270,0.35102840892444254
174,0.0540625,409,270,0.35234474942971905
175,0.054375,405,269,0.3550943139513252
176,0.0546875,402,268,0.35718591567309904
