frame,time_s,x_px,y_px,distance_m
1,0.0,1020,529,0.0
2,0.0003125,1019,530,0.0009460088169306055
3,0.000625,1015,530,0.0034108832964843236
4,0.0009375,1011,531,0.006167222954676915
5,0.00125,1008,531,0.008137875548727249
6,0.0015625,1004,531,0.010786160049913856
7,0.001875,1002,530,0.012059293543899953
8,0.0021875,998,531,0.014777130111674197
9,0.0025,995,531,0.016776660227766867
10,0.0028125,992,531,0.018777738857325577
11,0.003125,989,530,0.020747593111074922
12,0.0034375,984,530,0.0240907418750279
13,0.00375,982,530,0.02542811165886676
14,0.0040625,978,531,0.028126864216119655
15,0.004375,976,531,0.0294632771642791
16,0.0046875,972,532,0.0321712549708296
17,0.005,969,533,0.03422016092916741
18,0.0053125,965,532,0.036845798649978306
19,0.005625,962,532,0.03884976148838836
20,0.0059375,958,531,0.041495186222149844
21,0.00625,957,532,0.042190296324179484
22,0.0065625,953,532,0.044863165304810895
23,0.006875,948,531,0.0481814837500558
24,0.0071875,946,531,0.04951884033261094
25,0.0075,943,531,0.05152492406878473
26,0.0078125,939,531,0.054199783465568675
27,0.008125,937,531,0.05553724414764424
28,0.0084375,933,531,0.05821222036047582
29,0.00875,931,531,0.05954973342742714
30,0.0090625,927,532,0.062242779333224765
31,0.009375,924,532,0.06424855636035273
32,0.0096875,921,531,0.06623750804555868
33,0.01,916,530,0.06957185788112127
34,0.0103125,914,530,0.07090965570491883
35,0.010625,911,529,0.07291328819701448
36,0.010937500000000001,907,530,0.07559196500105804
37,0.01125,904,529,0.07759579294361174
38,0.0115625,902,529,0.07893365144263953
39,0.011875,899,530,0.08094320331443622
40,0.0121875,895,529,0.08361615618923679
41,0.0125,892,529,0.08562294393777847
42,0.012812500000000001,890,529,0.08696080243680626
43,0.013125,887,530,0.0889701049214222
44,0.0134375,882,529,0.09231223643291742
45,0.01375,880,530,0.0936524839345076
46,0.0140625,877,530,0.09565922156535295
47,0.014375,873,529,0.09833259967854246
48,0.014687500000000001,870,529,0.10033938742708415
49,0.015,867,529,0.10234617517562583
50,0.0153125,863,528,0.1050240225000034
51,0.015625,861,529,0.1063597506727092
52,0.0159375,858,528,0.10836860299803305
53,0.01625,854,528,0.11104427024816431
54,0.0165625,851,529,0.11304904316784814
55,0.016875,848,528,0.1150577754617294
56,0.0171875,845,528,0.11706452987575709
57,0.0175,841,528,0.11974020416586494
58,0.017812500000000002,838,528,0.12174696111537743
59,0.018125,834,529,0.12442084040958434
60,0.0184375,832,529,0.12575869890861213
61,0.01875,829,528,0.12776723776884358
62,0.0190625,824,528,0.13111183934578546
63,0.019375,822,527,0.13245474809251476
64,0.0196875,816,527,0.13646812487315246
65,0.02,816,526,0.1364763218954065
66,0.0203125,812,527,0.13914371576224255
67,0.020625,810,526,0.14048947586485966
68,0.0209375,806,527,0.14315711093469707
69,0.02125,803,527,0.1451638122601324
70,0.021562500000000002,800,526,0.14717811690078264
71,0.021875000000000002,797,527,0.1491772218864286
72,0.0221875,794,526,0.1511913291911577
73,0.0225,789,526,0.15453568717756813
74,0.0228125,787,525,0.15588348097262528
75,0.023125,782,525,0.15922764481350865
76,0.0234375,780,524,0.16057785616884465
77,0.02375,776,524,0.16325300220111688
78,0.0240625,773,524,0.16525937385745357
79,0.024375,770,524,0.16726575549697179
80,0.0246875,766,524,0.16994094593457126
