frame,time_s,x_px,y_px,distance_m
1,0.0,988,465,0.0
2,0.0003125,982,464,0.0040708865392004336
3,0.000625,975,464,0.00872594752317626
4,0.0009375,968,463,0.013451750971002922
5,0.00125,962,463,0.01745189504635252
6,0.0015625,957,463,0.02078987091760609
7,0.001875,952,462,0.02417649794997562
8,0.0021875,946,462,0.028180098316763904
9,0.0025,939,461,0.03290231541542641
10,0.0028125,934,461,0.036238492180652525
11,0.003125,929,459,0.039689380513543475
12,0.0034375,921,458,0.04508378623931297
13,0.00375,917,459,0.04768609041366108
14,0.0040625,909,459,0.05302298832373653
15,0.004375,904,458,0.056411828549943116
16,0.0046875,897,457,0.061136603394219245
17,0.005,892,457,0.064470661199935
18,0.0053125,886,457,0.06847310046052868
19,0.005625,879,456,0.073196452824693
20,0.0059375,874,455,0.07658742523420925
21,0.00625,867,454,0.08131314084293145
22,0.0065625,863,454,0.08397949519168703
23,0.006875,857,454,0.08798023883011918
24,0.0071875,852,453,0.09137157061090112
25,0.0075,845,453,0.09603907000706148
26,0.0078125,839,452,0.10009701538609031
27,0.008125,834,451,0.10348945198191276
28,0.0084375,828,450,0.10754947661909076
29,0.00875,821,450,0.11221462343684849
30,0.0090625,816,449,0.11560790884019345
31,0.009375,810,449,0.11960672310585702
32,0.0096875,802,448,0.12499927665161358
33,0.01,797,447,0.1283930593076176
34,0.0103125,790,447,0.13305786683388782
35,0.010625,785,446,0.13645144791694613
36,0.010937500000000001,779,446,0.14044997054688158
37,0.01125,772,445,0.14517627194915889
38,0.0115625,767,445,0.14850858777479306
39,0.011875,762,445,0.1518415163967484
40,0.0121875,754,443,0.15729501933309828
41,0.0125,749,443,0.16062688107406847
42,0.012812500000000001,743,443,0.1646258855023532
43,0.013125,737,443,0.1686256738328871
44,0.0134375,732,442,0.17201798490288622
45,0.01375,725,441,0.1767439983432439
46,0.0140625,720,440,0.1801375840634995
47,0.014375,714,440,0.18413610163930022
48,0.014687500000000001,709,439,0.18752966809414837
49,0.015,702,439,0.19219469653783794
50,0.0153125,697,438,0.19558813119194637
51,0.015625,692,437,0.19898221853260525
52,0.0159375,684,437,0.20431304309689688
53,0.01625,680,436,0.20704056777472107
54,0.0165625,672,436,0.21237158200505574
55,0.016875,668,434,0.21516245323664912
56,0.0171875,660,434,0.22049210705410469
57,0.0175,656,434,0.22315737099904429
58,0.017812500000000002,648,434,0.2284887219821689
59,0.018125,644,433,0.2312158176803869
60,0.0184375,637,433,0.2358808254433967
61,0.01875,632,431,0.2393369904473333
62,0.0190625,626,432,0.24327292891992477
63,0.019375,619,432,0.24793869598473992
64,0.0196875,614,431,0.2513315262417881
65,0.02,609,430,0.2547248824566477
66,0.0203125,601,430,0.26005666049807696
67,0.020625,596,429,0.26344984053295756
68,0.0209375,591,428,0.2668435137442589
69,0.02125,584,428,0.27150839476533933
70,0.021562500000000002,579,427,0.2749019715751357
71,0.021875000000000002,573,427,0.27890049686559254
72,0.0221875,567,426,0.28296045075552895
73,0.0225,563,425,0.285688076902219
74,0.0228125,555,425,0.29101894951189805
75,0.023125,550,423,0.2944759187956517
76,0.0234375,543,424,0.2990774662618472
77,0.02375,538,423,0.30247121599992904
78,0.0240625,532,423,0.3064695646453453
79,0.024375,526,422,0.310529662228487
80,0.0246875,520,423,0.3144675730146148
81,0.025,515,422,0.317860459658732
82,0.0253125,508,421,0.3225866497997632
83,0.025625000000000002,504,420,0.32531383714838596
84,0.025937500000000002,497,420,0.32997875147317024
85,0.02625,493,419,0.332705925691671
86,0.0265625,485,418,0.3380989224899862
87,0.026875,480,418,0.3414307996014895
88,0.0271875,474,417,0.34549100343467454
89,0.0275,468,417,0.34948930513780696
90,0.0278125,463,416,0.3528830853332506
91,0.028125,456,416,0.35754782541956953
92,0.0284375,450,416,0.36154658585942
93,0.02875,444,415,0.3656063594717411
94,0.0290625,439,414,0.36899999185554777
95,0.029375000000000002,434,413,0.37239396938688696
96,0.029687500000000002,428,414,0.37633079308594997
97,0.03,421,413,0.3810570077339471
98,0.0303125,416,412,0.3844505618286601
99,0.030625,410,410,0.3885736168815108
100,0.0309375,405,411,0.3918426546426206
101,0.03125,400,410,0.395236526822126
102,0.0315625,392,410,0.4005675650142784
103,0.031875,386,409,0.4046276809406771
