frame,time_s,x_px,y_px,distance_m
1,0.0,1021,526,0.0
2,0.0003125,1018,527,0.0021150399898502035
3,0.000625,1014,527,0.00472937319243552
4,0.0009375,1013,526,0.005350674968212843
5,0.00125,1010,527,0.007387517088692228
6,0.0015625,1008,528,0.008797142657983556
7,0.001875,1006,527,0.010054785327685589
8,0.0021875,1002,527,0.012725441781867254
9,0.0025,1000,528,0.014109076513387293
10,0.0028125,996,528,0.016774280687411398
11,0.003125,993,528,0.018775075491268875
12,0.0034375,990,529,0.02083072810514693
13,0.00375,988,530,0.02223308468324949
14,0.0040625,985,528,0.024115166195291318
15,0.004375,985,527,0.024087324931982828
16,0.0046875,982,527,0.026093113860727633
17,0.005,980,526,0.02742220921209082
18,0.0053125,977,529,0.02949703652675043
19,0.005625,973,529,0.03216669191725101
20,0.0059375,970,528,0.0341367716448462
21,0.00625,968,528,0.0354734517186109
22,0.0065625,964,528,0.03814701980252065
23,0.006875,961,526,0.04013006226159632
24,0.0071875,958,526,0.04213656537467614
25,0.0075,955,526,0.044143068487755954
26,0.0078125,950,526,0.04748724034288898
27,0.008125,947,526,0.0494937434559688
28,0.0084375,944,526,0.05150024656904861
29,0.00875,940,524,0.054192095965776524
30,0.0090625,937,525,0.056186068182159515
31,0.009375,932,524,0.059541287110226694
32,0.0096875,930,525,0.060867602566610154
33,0.01,927,524,0.06288465978488192
34,0.0103125,924,523,0.06490795497187701
35,0.010625,920,524,0.06756551442058435
36,0.010937500000000001,915,524,0.07090906172232203
37,0.01125,911,523,0.07359913713304057
38,0.0115625,906,523,0.07694211999664415
39,0.011875,903,523,0.07894795805635955
40,0.0121875,900,523,0.08095382907833965
41,0.0125,895,522,0.08431558572975277
42,0.012812500000000001,893,523,0.08563430997153204
43,0.013125,891,522,0.08698961753450028
44,0.0134375,888,523,0.08897759820317858
45,0.01375,885,524,0.09097130972746992
46,0.0140625,881,522,0.0936750232540048
47,0.014375,878,522,0.09568072504798993
48,0.014687500000000001,876,522,0.09701787798776151
49,0.015,872,523,0.09967651893197406
50,0.0153125,869,523,0.10168262348564616
51,0.015625,865,522,0.10437245544291053
52,0.0159375,863,522,0.10570969022916744
53,0.01625,859,523,0.10836974524628479
54,0.0165625,856,522,0.11039009478943669
55,0.016875,852,523,0.1130508164999593
56,0.0171875,850,522,0.11440196366325096
57,0.0175,848,522,0.11573927081213181
58,0.017812500000000002,844,522,0.11841390961511726
59,0.018125,840,522,0.12108857928747066
60,0.0184375,838,522,0.12242592506740115
61,0.01875,834,522,0.12510063734486496
62,0.0190625,831,522,0.12710668882256548
63,0.019375,828,521,0.12912834463048756
64,0.0196875,825,520,0.1311529459024873
65,0.02,821,520,0.13382705576090878
66,0.0203125,819,521,0.13514592487535673
67,0.020625,816,520,0.13716976040936707
68,0.0209375,812,520,0.13984397464116277
69,0.02125,809,519,0.1418701601397697
70,0.021562500000000002,806,519,0.143875585593279
71,0.021875000000000002,803,520,0.1458611072857098
72,0.0221875,799,519,0.14855502483236557
73,0.0225,797,519,0.1498920350182014
74,0.0228125,793,518,0.1525880792100826
75,0.023125,790,518,0.1545933643228929
76,0.0234375,786,519,0.15724579127152483
77,0.02375,783,518,0.159272482227661
78,0.0240625,780,518,0.16127786684961093
79,0.024375,777,519,0.16326273026753124
