frame,time_s,x_px,y_px,distance_m
1,0.0,1021,525,0.0
2,0.0003125,1019,526,0.0014947638643925953
3,0.000625,1016,526,0.003408586049013315
4,0.0009375,1012,525,0.006016308499965817
5,0.00125,1008,526,0.008715896187426287
6,0.0015625,1004,525,0.01136413827771321
7,0.001875,1002,526,0.01271867510180511
8,0.0021875,997,526,0.01605740993398108
9,0.0025,995,525,0.017380446777679026
10,0.0028125,990,526,0.020733619500235445
11,0.003125,987,526,0.022738104999801657
12,0.0034375,984,527,0.024769820351118837
13,0.00375,979,528,0.028147637930210266
14,0.0040625,978,527,0.028775660291553932
15,0.004375,974,526,0.031425610615386575
16,0.0046875,971,527,0.033450664572698366
17,0.005,966,528,0.03682098281478007
18,0.0053125,964,527,0.038126735345387255
19,0.005625,959,526,0.04145107138441656
20,0.0059375,957,527,0.04280352308444932
21,0.00625,954,526,0.04479306275801989
22,0.0065625,949,526,0.04813510998922469
23,0.006875,945,525,0.05080438288860023
24,0.0071875,942,525,0.0528098190552555
25,0.0075,939,526,0.05481933116014163
26,0.0078125,934,525,0.058157648833002895
27,0.008125,931,525,0.06016308499965817
28,0.0084375,928,525,0.06216852116631344
29,0.00875,925,525,0.06417395733296871
30,0.0090625,922,525,0.06617939349962398
31,0.009375,918,525,0.06885330838849768
32,0.0096875,914,524,0.07153034694151145
33,0.01,912,524,0.07286724707344439
34,0.0103125,908,524,0.07554105342322533
35,0.010625,905,523,0.0775550564161431
36,0.010937500000000001,903,524,0.07888332170787732
37,0.01125,900,523,0.08089697386893276
38,0.0115625,896,523,0.08357053525242389
39,0.011875,893,523,0.08557572078655976
40,0.0121875,889,522,0.08826197743813957
41,0.0125,886,522,0.09026690737329898
42,0.012812500000000001,884,521,0.09162061188222945
43,0.013125,880,521,0.0942934200756526
44,0.0134375,877,521,0.09629806654509601
45,0.01375,875,521,0.09763451554403202
46,0.0140625,871,522,0.10029186068939498
47,0.014375,868,521,0.10231219166466356
48,0.014687500000000001,866,521,0.10364869832899523
49,0.015,862,520,0.10634065720550823
50,0.0153125,860,520,0.10767696229099812
51,0.015625,857,520,0.1096814497315947
52,0.0159375,851,521,0.11367283624653515
53,0.01625,849,521,0.11500942805239839
54,0.0165625,845,520,0.11769972271685326
55,0.016875,842,519,0.11972489372991478
56,0.0171875,839,520,0.12170903078427006
57,0.0175,835,520,0.12438195886492912
58,0.017812500000000002,831,521,0.12703910057598325
59,0.018125,827,521,0.12971243531410961
60,0.0184375,825,521,0.13104911156021973
61,0.01875,819,522,0.13504759291977353
62,0.0190625,816,521,0.1370642225467793
63,0.019375,812,522,0.13972644528487788
64,0.0196875,809,522,0.14173167780686222
65,0.02,805,522,0.14440532996767408
66,0.0203125,802,522,0.1464105753856583
67,0.020625,799,522,0.14841582595829628
68,0.0209375,795,521,0.15109985233211526
69,0.02125,792,521,0.15310497857547697
70,0.021562500000000002,788,521,0.15577849264517193
71,0.021875000000000002,784,521,0.15845202024168825
72,0.0221875,781,521,0.16045717440930615
73,0.0225,778,520,0.16247471262575044
74,0.0228125,774,520,0.16514807081784333
75,0.023125,771,520,0.16715310114899165
76,0.0234375,767,520,0.16982648983205043
77,0.02375,765,520,0.17116319033827185
78,0.0240625,760,520,0.17450495882666892
79,0.024375,758,520,0.1758416728755019
80,0.0246875,754,520,0.17851511190938324
81,0.025,751,519,0.18053381474659796
82,0.0253125,747,519,0.18320707928526905
83,0.025625000000000002,744,519,0.18521204001101554
84,0.025937500000000002,741,518,0.18723252497285026
85,0.02625,737,517,0.18992326372033647
86,0.0265625,733,518,0.19257873071620366
87,0.026875,731,518,0.19391529614613703
88,0.0271875,727,518,0.1965884429997179
89,0.0275,723,518,0.1992616104630506
90,0.0278125,721,518,0.20059820166589432
91,0.028125,717,517,0.20328788555739294
92,0.0284375,713,517,0.20596088706799548
93,0.02875,709,517,0.2086339119868612
94,0.0290625,707,517,0.20997043294501952
95,0.029375000000000002,703,517,0.2126434913246195
96,0.029687500000000002,701,517,0.21398002854040027
97,0.03,698,516,0.21600242955336615
98,0.0303125,695,516,0.21800709482850633
99,0.030625,691,516,0.2206800036527269
100,0.0309375,687,516,0.22335293656103045
101,0.03125,682,516,0.22669413526680277
102,0.0315625,680,516,0.22803062455548245
103,0.031875,677,516,0.2300353686901086
104,0.0321875,674,515,0.2320584192015044
105,0.0325,670,515,0.23473123707263432
106,0.0328125,667,515,0.23673586673548977
107,0.033125,662,515,0.24007694610966526
108,0.0334375,660,515,0.241413388046951
109,0.03375,656,515,0.24408628886008008
110,0.0340625,653,515,0.24609097892895973
111,0.034375,650,515,0.24809568105748636
112,0.0346875,646,515,0.25076863548841466
113,0.035,642,515,0.2534416101821693
114,0.035312500000000004,639,514,0.255464721579466
115,0.035625000000000004,636,514,0.2574693332810945
116,0.035937500000000004,632,514,0.26014216865280665
117,0.03625,629,514,0.26214680963080406
118,0.0365625,625,513,0.2648390876950486
119,0.036875,622,513,0.26684361063937023
120,0.0371875,618,513,0.26951632903418
121,0.0375,615,513,0.27152088329198004
122,0.0378125,611,512,0.274214013333798
123,0.038125,608,512,0.2762184494850253
124,0.0384375,605,512,0.2782229000489206
125,0.03875,601,512,0.2808955226872016
126,0.0390625,597,511,0.2835894430054162
127,0.039375,595,512,0.2849045021142462
128,0.0396875,591,511,0.2875981611656642
129,0.04,587,511,0.29027067300329623
130,0.0403125,584,511,0.2922750737243361
131,0.040625,580,510,0.29496959749041296
132,0.0409375,576,510,0.2976419808396533
133,0.04125,574,511,0.29895650976482463
134,0.0415625,571,511,0.3009609695992254
135,0.041875,567,511,0.3036336027687819
136,0.0421875,563,510,0.3063274113273582
137,0.0425,561,510,0.3076636554276446
138,0.0428125,557,510,0.3103361620622219
139,0.043125000000000004,553,510,0.3130086927508321
140,0.043437500000000004,550,511,0.31499253644765085
141,0.043750000000000004,546,510,0.31768567750997967
142,0.0440625,543,510,0.3196901207498612
143,0.044375,537,510,0.3236990441297967
144,0.0446875,537,510,0.3236990441297967
145,0.045,532,510,0.3270398501216022
146,0.0453125,528,510,0.32971251808514473
147,0.045625,526,510,0.33104885961881075
148,0.0459375,523,510,0.333053381188734
149,0.04625,519,509,0.3357467240455923
150,0.0465625,514,509,0.3390874379695208
