frame,time_s,x_px,y_px,distance_m
1,0.0,965,424,0.0
2,0.0003125,959,425,0.004002119995710259
3,0.000625,955,424,0.006579444743692875
4,0.0009375,945,424,0.01315888948738575
5,0.00125,942,423,0.01514701929810388
6,0.0015625,934,422,0.02043868265705303
7,0.001875,929,422,0.023722525387466685
8,0.0021875,921,421,0.02901676862577459
9,0.0025,915,419,0.0330613006650755
10,0.0028125,910,419,0.036336171243361456
11,0.003125,905,419,0.039613503078557794
12,0.0034375,897,416,0.045048781184214404
13,0.00375,891,416,0.04897158114351682
14,0.0040625,884,415,0.05362146553430952
15,0.004375,879,415,0.05689222700621732
16,0.0046875,872,414,0.06154155310363949
17,0.005,867,413,0.06488346713461514
18,0.0053125,861,412,0.0688802192768703
19,0.005625,853,411,0.07418451597396643
20,0.0059375,848,411,0.07745322799400264
21,0.00625,843,410,0.08079601007973362
22,0.0065625,834,410,0.08668153145564154
23,0.006875,831,408,0.08879081958064276
24,0.0071875,824,407,0.0934420145619281
25,0.0075,818,407,0.09736244458090451
26,0.0078125,813,407,0.10063109637255552
27,0.008125,806,405,0.10535743572124193
28,0.0084375,800,404,0.10935543872450415
29,0.00875,794,403,0.11335373229153974
30,0.0090625,788,402,0.11735228672307785
31,0.009375,781,401,0.1220039125379821
32,0.0096875,776,400,0.12535007832196465
33,0.01,769,399,0.13000190325897357
34,0.0103125,763,399,0.13391877536412386
35,0.010625,757,398,0.1379174663472841
36,0.010937500000000001,750,397,0.1425691438942958
37,0.01125,744,397,0.14648687131334356
38,0.0115625,738,395,0.15056725432497164
39,0.011875,731,395,0.15513683350654375
40,0.0121875,725,393,0.1592184845769096
41,0.0125,719,393,0.16313441018618108
42,0.012812500000000001,713,392,0.16713343776261955
43,0.013125,706,391,0.17178525777941286
44,0.0134375,701,391,0.17504909190232215
45,0.01375,693,390,0.18035360983875615
46,0.0140625,688,390,0.18361838194591107
47,0.014375,681,389,0.1882698657515891
48,0.014687500000000001,676,388,0.1916155268358335
49,0.015,670,386,0.19569728614846824
50,0.0153125,665,387,0.19887888652845825
51,0.015625,658,385,0.20361228964795883
52,0.0159375,652,384,0.20761145715950896
53,0.01625,647,384,0.21087505312936755
54,0.0165625,642,383,0.2142213052727011
55,0.016875,635,383,0.21879102376458393
56,0.0171875,630,382,0.22213690457464738
57,0.0175,623,380,0.22687161950733498
58,0.017812500000000002,617,379,0.23087101915695948
59,0.018125,611,378,0.23487051148278584
60,0.0184375,604,378,0.23943846030996688
61,0.01875,599,377,0.24278507711078923
